,artist_names,track_name,Popularity_Score,WOC_ratio,rank_pts,streams_ratio,streams,rank,weeks_on_chart,danceability,energy,loudness,speechiness,acousticness,valence,tempo,duration,country
0,"Bizarrap, Quevedo","Quevedo: Bzrp Music Sessions, Vol. 52",0.6263333333333333,0.014,0.865,1.0,3357665.5,27.0,2.0,0.621,0.782,-5.548,0.044,0.012,0.55,128.033,199.0,Argentina
1,"TINI, Maria Becerra",Miénteme,0.6023616666666667,0.429,0.892085,0.486,1631911.556,21.583,63.0,0.85,0.541,-4.522,0.067,0.161,0.916,92.003,165.0,Argentina
2,"Bad Bunny, Bomba Estéreo",Ojitos Lindos,0.5851116666666666,0.068,0.983335,0.704,2365299.333,3.333,10.0,0.647,0.686,-5.745,0.041,0.08,0.268,79.928,258.0,Argentina
3,"Bad Bunny, Chencho Corleone",Me Porto Bonito,0.5787783333333333,0.068,0.978335,0.69,2315401.667,4.333,10.0,0.911,0.712,-5.105,0.082,0.09,0.425,92.005,179.0,Argentina
4,"TINI, L-Gante",Bar,0.57293,0.238,0.9057900000000001,0.575,1929734.263,18.842,35.0,0.523,0.691,-3.802,0.083,0.133,0.677,94.148,160.0,Argentina
5,"Bizarrap, Tiago PZK","Tiago PZK: Bzrp Music Sessions, Vol. 48",0.5425949999999999,0.197,0.931785,0.499,1674587.714,13.643,29.0,0.656,0.823,-3.059,0.315,0.47,0.755,96.474,160.0,Argentina
6,"Emilia, Duki",como si no importara,0.5412016666666667,0.361,0.8466049999999999,0.416,1395775.964,30.679,53.0,0.843,0.534,-6.658,0.142,0.467,0.528,94.984,173.0,Argentina
7,"Sofía Reyes, Maria Becerra",Marte,0.5400283333333333,0.15,0.957085,0.513,1721339.417,8.583,22.0,0.704,0.604,-5.254,0.056,0.067,0.642,90.028,219.0,Argentina
8,"Tiago PZK, Trueno",Salimo de Noche,0.5325833333333333,0.259,0.86775,0.471,1582449.15,26.45,38.0,0.669,0.628,-4.177,0.053,0.294,0.784,83.803,178.0,Argentina
9,"Kaleb Di Masi, Ecko, Papichamp, Blunted Vato, Bruno LC",Turraka - Remix,0.52474,0.224,0.8822199999999999,0.468,1571143.444,23.556,33.0,0.799,0.6,-7.474,0.332,0.39,0.683,170.22,210.0,Argentina
10,"Tiago PZK, LIT killah",Entre Nosotros,0.524575,0.361,0.796725,0.416,1395810.276,40.655,53.0,0.729,0.513,-6.345,0.046,0.494,0.789,170.064,192.0,Argentina
11,"Duki, De La Ghetto, Quevedo",Si Quieren Frontear,0.5185416666666667,0.102,0.945625,0.508,1704894.625,10.875,15.0,0.789,0.837,-3.247,0.23,0.125,0.476,81.536,200.0,Argentina
12,"Fer Palacio, DJ Alex, Santiago Saez",Ya No Más,0.51048,1.0,0.43344,0.098,327584.969,113.312,147.0,0.795,0.676,-6.429,0.059,0.138,0.882,100.045,158.0,Argentina
13,"Rauw Alejandro, Chencho Corleone",Desesperados,0.5045833333333334,0.211,0.88375,0.419,1405352.312,23.25,31.0,0.869,0.694,-3.35,0.078,0.356,0.511,90.02,225.0,Argentina
14,"J Balvin, Maria Becerra",Qué Más Pues?,0.5037983333333332,0.401,0.7443949999999999,0.366,1230560.697,51.121,59.0,0.9,0.817,-3.97,0.098,0.027,0.741,102.003,217.242,Argentina
15,"Shakira, Rauw Alejandro",Te Felicito,0.5016666666666666,0.082,0.9,0.523,1757714.429,20.0,12.0,0.695,0.636,-4.654,0.317,0.234,0.575,174.14,172.0,Argentina
16,"Tiago PZK, LIT killah, Maria Becerra, Nicki Nicole",Entre Nosotros (Remix) [con Nicki Nicole],0.4871666666666667,0.19,0.8825,0.389,1306418.714,23.5,28.0,0.7,0.438,-5.784,0.043,0.401,0.605,170.106,260.0,Argentina
17,"FMK, Maria Becerra",Tranquila,0.48666666666666664,0.177,0.89,0.393,1320814.083,22.0,26.0,0.753,0.532,-4.92,0.058,0.061,0.742,96.005,183.0,Argentina
18,"Los Ángeles Azules, Nicki Nicole",Otra Noche,0.4859816666666666,0.238,0.878945,0.341,1144547.947,24.211,35.0,0.605,0.711,-4.09,0.038,0.365,0.645,91.999,199.0,Argentina
19,"Bizarrap, L-Gante","L-Gante: Bzrp Music Sessions, Vol.38",0.4798383333333333,0.367,0.7515149999999999,0.321,1078201.818,49.697,54.0,0.553,0.819,-3.083,0.257,0.368,0.761,87.913,192.0,Argentina
20,"TINI, Beéle",Fantasi,0.47783333333333333,0.143,0.9025,0.388,1303891.833,19.5,21.0,0.832,0.749,-3.704,0.316,0.191,0.509,126.079,158.0,Argentina
21,"Bad Bunny, Jhay Cortez",DÁKITI,0.4764266666666666,0.599,0.64628,0.184,617489.651,70.744,88.0,0.731,0.573,-10.059,0.054,0.401,0.145,109.928,205.0,Argentina
22,"Tiago PZK, Ozuna",Nos Comemos (feat. Ozuna),0.4753333333333334,0.041,0.9420000000000001,0.443,1485854.6,11.6,6.0,0.827,0.819,-3.701,0.052,0.1,0.562,92.017,191.0,Argentina
23,"Mau y Ricky, Maria Becerra",Mal Acostumbrao,0.47271833333333335,0.306,0.796155,0.316,1061644.962,40.769,45.0,0.86,0.516,-5.518,0.145,0.062,0.591,98.005,190.0,Argentina
24,"Rusherking, KHEA, Duki, Maria Becerra, LIT killah, Tiago PZK",Además de Mí - Remix,0.4698883333333333,0.483,0.6566649999999999,0.27,908211.571,68.667,71.0,0.397,0.613,-5.077,0.055,0.04,0.405,78.4,330.0,Argentina
25,"Emilia, Nicki Nicole",intoxicao,0.46666666666666673,0.048,0.93,0.422,1418281.8,14.0,7.0,0.929,0.642,-3.179,0.038,0.205,0.847,94.039,169.0,Argentina
26,"Duki, KHEA",She Don't Give a Fo,0.4623466666666667,0.878,0.40904,0.1,335761.115,118.192,129.0,0.854,0.556,-4.49,0.14,0.345,0.342,119.938,210.0,Argentina
