,artist_names,track_name,weeks_on_chart
0,Ed Sheeran,Photograph,290
1,Hebe Tien,小幸運,290
2,"Anuel AA, Daddy Yankee, Zion & Lennox, Farruko, Wisin",Sola (Remix),290
3,James Arthur,Say You Won't Let Go,290
4,South Border,Rainbow,290
5,Eric Chou,"How Have You Been? - Ending Theme Song of TVBS Series ""Life List""",290
6,Dear Jane,You and Me,290
7,The Killers,Mr. Brightside,290
8,Danny Ocean,Me Rehúso,290
9,Jason Chan,你瞞我瞞,290
10,Alejandro Fernández,Me Dediqué a Perderte,290
11,Jay Chou,告白氣球,290
12,León Larregui,Brillas,290
13,Kay Tse,囍帖街,290
14,Bacilos,Caraluna,290
15,Terence Siufay,Shi Guang Ji,290
16,Luis Miguel,Ahora Te Puedes Marchar,290
17,Payung Teduh,Untuk Perempuan Yang Sedang Di Pelukan,290
18,"The Chainsmokers, Halsey",Closer,289
19,G.E.M.,光年之外 (電影 《Passengers》 中國區主題曲),289
20,"Bonez MC, RAF Camora, Maxwell",Ohne mein Team,288
21,Vance Joy,Riptide,286
22,Punnany Massif,Élvezd,285
23,Jay Chou,晴天,285
24,Oasis,Wonderwall - Remastered,285
25,Imagine Dragons,Believer,284
26,Christina Perri,A Thousand Years,284
27,"Yura Yunita, Glenn Fredly",Cinta Dan Rahasia,283
28,mor ve ötesi,Bir Derdim Var,283
29,"The Chainsmokers, Coldplay",Something Just Like This,282
30,Eagles,Hotel California - 2013 Remaster,282
31,Bubbi Morthens,Rómeó og Júlía,281
32,Ed Sheeran,Perfect,280
33,Manuel Medrano,Bajo El Agua,280
34,Up Dharma Down,Tadhana,278
35,Eraserheads,Ang Huling El Bimbo,278
36,Ed Sheeran,Shape of You,277
37,Hjálmar,Leiðin okkar allra,277
38,J. Cole,No Role Modelz,277
39,Hins Cheung,春秋,276
40,Tulus,Monokrom,276
41,Hale,Kung Wala Ka,275
42,Joker Xue,演員,274
43,"Eminem, Nate Dogg",'Till I Collapse,274
44,Wohnout,Svaz ceskych bohemu,274
45,Travis Scott,goosebumps,274
46,Eric Chou,以後別做朋友,273
47,maNga,Cevapsız Sorular,272
48,Fonseca,Te Mando Flores,271
49,Justin Lo,Die Hard,271
50,KALEO,Vor í Vaglaskógi,271
51,Dear Jane,Never Be Alone,269
52,Christian Nodal,Adiós Amor,268
53,Lauv,I Like Me Better,268
54,Lil Uzi Vert,XO Tour Llif3,266
55,Ezhel,Geceler,266
56,Stavangerkameratene,Bare så du vett det,263
57,"MiyaGi & Endspiel, Rem Digga",I Got Love,261
58,Charmaine Fong,Legend,260
59,Fleetwood Mac,Dreams - 2004 Remaster,260
60,Fleetwood Mac,Everywhere - 2017 Remaster,258
61,Ne-Yo,So Sick,257
62,"Juno Mak, Kay Tse",羅生門,257
63,Jia Jia,家家酒,257
64,JJ Lin,Those Were the Days,257
65,JJ Lin,If Only,257
66,Elton John,"Rocket Man (I Think It's Going To Be A Long, Long Time)",256
67,Hombres G,Devuélveme a mi chica,255
68,[Alexandros],ワタリドリ,255
69,GReeeeN,キセキ,255
70,Sheila On 7,Dan...,254
71,ONE OK ROCK,Wherever you are,253
72,Mayday,後來的我們,253
73,Parokya Ni Edgar,Your Song,253
74,Poju,Esson baariin,252
75,Sam Smith,Too Good At Goodbyes,252
76,"Nerieš, DMS",10 Minút,252
77,The Pussycat Dolls,Stickwitu,251
78,Jason Mraz,I'm Yours,250
79,Los Enanitos Verdes,Lamento Boliviano,250
80,MYMP,Tell Me Where It Hurts,249
81,TOTO,Africa,249
82,SIX60,Don't Forget Your Roots - 2021 Remix / Remaster,247
83,Don Omar,Ojitos Chiquitos,247
84,Journey,Don't Stop Believin',247
85,De Jeugd Van Tegenwoordig,Sterrenstof,245
86,JJ Lin,她說,245
87,Chris Stapleton,Tennessee Whiskey,245
88,MONGOL800,小さな恋のうた,245
89,Queen,Bohemian Rhapsody - Remastered 2011,245
90,Arctic Monkeys,Do I Wanna Know?,244
91,Bruno Mars,Just the Way You Are,243
92,Lifehouse,You And Me,243
93,Maroon 5,She Will Be Loved - Radio Mix,243
94,"Daniel Caesar, H.E.R.",Best Part (feat. H.E.R.),243
95,XXXTENTACION,Jocelyn Flores,242
96,Axwell /\ Ingrosso,More Than You Know,241
97,Hivi!,Remaja,241
98,Dewa 19,Kangen,241
99,Eric Chou,The Chaos After You,240
100,"Morat, Juanes",Besos En Guerra,239
101,Ben&Ben,Kathang Isip,239
102,GReeeeN,愛唄,238
103,"Zion & Lennox, J Balvin",Otra vez (feat. J Balvin),238
104,The Kooks,Naive,237
105,JJ Lin,Twilight,236
106,Santaferia,EL Gil De Tu Ex,236
107,Oasis,Don't Look Back In Anger - Remastered,235
108,Banda MS de Sergio Lizárraga,El Color de Tus Ojos,235
109,Janice Vidal,You go I go,234
110,Linkin Park,In the End,234
111,Yoyo Sham,追光者 (電視劇《夏至未至》插曲),234
112,Ben&Ben,Leaves,233
113,Ben&Ben,Maybe The Night,233
114,Aimyon,Kimi Wa Rock Wo Kikanai,232
115,Avicii,Wake Me Up,232
116,IV Of Spades,Mundo,231
117,"Paulo Londra, Lenny Tavárez",Nena Maldición (feat. Lenny Tavárez),231
118,Bubbi Morthens,Afgan,231
119,"Jason Mraz, Colbie Caillat",Lucky,230
120,EggPlantEgg,浪子回頭,230
121,Rotlaus,Rundt neste sving,229
122,Masaki Suda,Sayonara Elegy,229
123,December Avenue,Sa Ngalan Ng Pag-Ibig,229
124,ToNick,長相廝守,228
125,JJ Lin,Practice Love,228
126,Ronald Cheng,Rogue,227
127,Ishay Ribo,לשוב הביתה,227
128,Yüzyüzeyken Konuşuruz,Dinle Beni Bi',227
129,SAMSONS,Kenangan Terindah,227
130,Ravid Plotnik,כל הזמן הזה,226
131,"Macklemore & Ryan Lewis, Macklemore, Ryan Lewis, Ray Dalton",Can't Hold Us (feat. Ray Dalton),226
132,Ada Band,Manusia Bodoh,226
133,Ed Sheeran,Thinking out Loud,226
134,León Larregui,Locos,226
135,A-Mei Chang,連名帶姓,225
136,Eviatar Banai,עד מחר,225
137,Idan Amedi,חלק מהזמן,224
138,Charmaine Fong,What If The World,224
139,Hellbillies,Den finast eg veit,224
140,Hins Cheung,櫻花樹下,224
141,Guns N' Roses,Sweet Child O' Mine,224
142,Adamlar,Rüyalarda Buruşmuşum,224
143,Fleetwood Mac,Go Your Own Way - 2004 Remaster,223
144,John Legend,All of Me,222
145,Friðrik Dór,Í síðasta skipti,222
146,"Avicii, Sandro Cavazza",Without You (feat. Sandro Cavazza),222
147,Official HIGE DANdism,ノーダウト,222
148,Sertab Erener,Olsun,222
149,Shlomo Artzi,תתארו לכם,222
